"brand","shop","@lat","@lon"
"Пятёрочка","supermarket","55.7785774","37.7279597"
"Пятёрочка","supermarket","55.8898015","37.5934075"
"Магнолия","convenience","55.8142886","37.6582296"
"Перекресток","supermarket","55.8155945","37.6539777"
"Магнолия","convenience","55.8156769","37.6471184"
"Магнолия","convenience","55.8247705","37.6464514"
"Магнолия","supermarket","55.7386110","37.4136294"
"Дикси","supermarket","55.6507537","37.4003360"
"ЦентрОбувь","shoes","55.8999700","37.5884123"
"Пятёрочка","supermarket","55.8176582","37.8146748"
"Пятёрочка","supermarket","55.8671751","37.7042968"
"Пятёрочка","supermarket","55.8178291","37.8205757"
"Перекресток","supermarket","55.8878758","37.5893934"
"М.Видео","electronics","55.7967491","37.7157423"
"TERVOLINA","shoes","55.7729951","37.6786193"
"Магнит","supermarket","55.7384035","37.7637383"
"Красное&Белое","alcohol","55.7412324","37.7692451"
"Adidas","sports","55.7514529","37.7145425"
"Rockport","shoes","55.7514946","37.7147841"
"Магнит","supermarket","55.7472680","37.7569708"
"Billa","supermarket","55.7489595","37.6497147"
"Major Toyota","car","55.7946651","37.6510744"
"ВкусВилл","convenience","55.7388364","37.5467094"
"Пятёрочка","convenience","55.8886674","37.6145949"
"Магнит","supermarket","55.5996287","37.6633529"
"Пятёрочка","supermarket","55.6207664","37.4721972"
"О’КЕЙ","supermarket","55.8447593","37.6605186"
"Спортмастер","sports","55.8458174","37.6677058"
"Castorama","doityourself","55.8455824","37.6595336"
"Магнолия","supermarket","55.7265585","37.5821937"
"Магнит","convenience","55.6817030","37.6556456"
"Billa","supermarket","55.8243247","37.5281893"
"Очкарик","optician","55.7068969","37.6202693"
"TOPGUN","hairdresser","55.7704939","37.6419731"
"Пятёрочка","supermarket","55.7031113","37.8421880"
"Перекресток","supermarket","55.6758565","37.6619094"
"Mercedes-Benz","car","55.6211512","37.6163629"
"Декатлон","sports","55.7436490","37.5081220"
"Спортмастер","sports","55.7436279","37.5068973"
"Пятёрочка","supermarket","55.8764097","37.7015865"
"Магнит","supermarket","55.8786898","37.6975433"
"Верный","supermarket","55.7972816","37.4605620"
"Honda","car","55.7888362","37.3881613"
"Пятёрочка","supermarket","55.8339496","37.5684341"
"Азбука Вкуса","supermarket","55.6790310","37.5598944"
"Пятёрочка","supermarket","55.8507715","37.4321257"
"Перекресток","supermarket","55.6382593","37.6676330"
"Лента","supermarket","55.7174324","37.4139144"
"ВкусВилл","convenience","55.7352691","37.4762421"
"Перекресток","supermarket","55.6547606","37.7654194"
"Перекресток","supermarket","55.8752747","37.5644677"
"Авоська","supermarket","55.8947292","37.7189944"
"Перекрёсток","supermarket","55.8921918","37.7282485"
"Пятёрочка","supermarket","55.7933801","37.8197080"
"Fix price","variety_store","55.7937892","37.8213497"
"Пятёрочка","supermarket","55.7932989","37.8155692"
"Пятёрочка","supermarket","55.8698422","37.6311878"
"Отдохни","alcohol","55.8196660","37.8024375"
"Пятёрочка","supermarket","55.8196711","37.8026989"
"Дикси","supermarket","55.7168965","37.6189099"
"Перекресток","supermarket","55.7257723","37.4496593"
"Дикси","supermarket","55.8193193","37.8251910"
"Связной","mobile_phone","55.8977024","37.5894360"
"Связной","mobile_phone","55.8965554","37.5881964"
"Билайн","mobile_phone","55.7960799","37.7995700"
"Ашан","supermarket","55.7435204","37.5071174"
"Fix price","variety_store","55.7980308","37.7877693"
"Пятёрочка","supermarket","55.6495877","37.4101961"
"Ароматный мир","alcohol","55.6919161","37.5396380"
"Пятёрочка","supermarket","55.6371668","37.2213886"
"Пятёрочка","supermarket","55.6603636","37.2166909"
"МегаФон","mobile_phone","55.7971081","37.7960590"
"А5","optician","55.7388886","37.4848900"
"Магнит","convenience","55.7409763","37.4812602"
"Пятёрочка","supermarket","55.6562593","37.4027126"
"Эльдорадо","electronics","55.6184057","37.5069442"
"Дикси","supermarket","55.8638717","37.4250872"
"Пятёрочка","supermarket","55.8747537","37.7085380"
"Перекресток","supermarket","55.6412581","37.3595846"
"Пятёрочка","supermarket","55.6367687","37.6729192"
"BMW","car_repair","55.6663184","37.4277223"
"Пятёрочка","supermarket","55.7203912","37.7861634"
"Дикси","supermarket","55.7770506","37.6153051"
"Дикси","convenience","55.6033826","37.5887971"
"Диана","dry_cleaning","55.6146438","37.5885343"
"Пятёрочка","supermarket","55.8143416","37.6617623"
"Пятёрочка","supermarket","55.8205950","37.6602636"
"Пятёрочка","supermarket","55.6848160","37.8476783"
"Магнит","supermarket","55.8207786","37.8317666"
"Пятёрочка","supermarket","55.7703749","37.5735404"
"Магнолия","convenience","55.8104912","37.6333051"
"Азбука Вкуса","supermarket","55.8095243","37.6365073"
"Nissan","car_parts","55.8284374","37.4508248"
"Пятёрочка","supermarket","55.6776973","37.8945727"
"Магнит","supermarket","55.8786846","37.7195460"
"Дикси","convenience","55.8989653","37.4123566"
"Кораблик","toys","55.6867420","37.3055385"
"Пятёрочка","supermarket","55.8122367","37.6533069"
"Пятёрочка","supermarket","55.7150103","37.4008089"
"Ашан","supermarket","55.7477047","37.7077503"
"Очкарик","optician","55.6916690","37.5380048"
"Магнолия","convenience","55.6921149","37.5392863"
"Дикси","supermarket","55.6861037","37.5360636"
"Эльдорадо","electronics","55.6783826","37.2680241"
"ВкусВилл","convenience","55.6871595","37.5341687"
"МясновЪ","convenience","55.6870143","37.5344203"
"Пятёрочка","supermarket","55.7418079","37.4963838"
"Перекрёсток","supermarket","55.8180669","37.5732953"
"BP","kiosk","55.8046705","37.4248611"
"Пятёрочка","supermarket","55.7344380","37.7520612"
"Пятёрочка","supermarket","55.8587145","37.4238350"
"Пятёрочка","supermarket","55.6378717","37.2226857"
"BMW","car","55.7151034","37.7152309"
"MINI","car","55.7149596","37.7156530"
"Volkswagen","car","55.7146604","37.7165914"
"Магнолия","supermarket","55.7542864","37.8591655"
"Пятёрочка","supermarket","55.8200268","37.6478269"
"Пятёрочка","supermarket","55.7721997","37.4911932"
"Магнолия","supermarket","55.7917204","37.5833358"
"Пятёрочка","supermarket","55.7828398","37.5906798"
"Пятёрочка","supermarket","55.7512193","37.8490656"
"Ozon","outpost","55.8588677","37.3478331"
"Перекресток","supermarket","55.8712271","37.5915650"
"ВкусВилл","convenience","55.7913317","37.6228010"
"МясновЪ","convenience","55.7918930","37.6227431"
"Суши Wok","convenience","55.7932899","37.6204971"
"Перекресток","supermarket","55.6214018","37.7381483"
"Л'Этуаль","cosmetics","55.8092931","37.6380331"
"Кораблик","toys","55.8107083","37.6382816"
"Пятёрочка","supermarket","55.6657159","37.6506890"
"Дикси","supermarket","55.8177029","37.6602074"
"Л'Этуаль","cosmetics","55.7274928","37.5804773"
"Магнит","supermarket","55.6458972","37.7529472"
"Магнит","supermarket","55.8237157","37.6553609"
"Автопаскер","car_parts","55.8186941","37.7127483"
"Пятёрочка","supermarket","55.8029531","37.7259804"
"Пятёрочка","supermarket","55.8158188","37.7156640"
"Перекресток","supermarket","55.8355251","37.3547729"
"Перекрёсток","supermarket","55.7819770","37.7034561"
"Леруа Мерлен","doityourself","55.7475120","37.7076214"
"Дикси","convenience","55.6726970","37.5318660"
"ВкусВилл","convenience","55.7612164","37.6505188"
"Billa","supermarket","55.6816079","37.8881460"
"Магнит","supermarket","55.6787995","37.8947992"
"Магнолия","supermarket","55.7946198","37.6194384"
"Пятёрочка","supermarket","55.8118888","37.5672654"
"Читай-город","books","55.7954560","37.7159665"
"Дикси","supermarket","55.8467510","37.3465891"
"Красное&Белое","alcohol","55.6666401","37.6188754"
"Дикси","convenience","55.8945484","37.5856995"
"Пятёрочка","supermarket","55.6114458","37.5973035"
"Пятёрочка","supermarket","55.6071952","37.5859097"
"Пятёрочка","supermarket","55.6255973","37.5950217"
"Пятёрочка","supermarket","55.8582128","37.5938109"
"Пятёрочка","supermarket","55.8008237","37.5635242"
"Пятёрочка","supermarket","55.6359878","37.6729186"
"Дикси","supermarket","55.8259992","37.5692535"
"Billa","supermarket","55.6263995","37.5201837"
"Пятёрочка","supermarket","55.6620345","37.4694803"
"М.Видео","electronics","55.8327594","37.5720320"
"BMW","car","55.7849056","37.8790199"
"Пятёрочка","supermarket","55.8155960","37.3678838"
"Адамас","jewelry","55.8986108","37.5917276"
"Пятёрочка","supermarket","55.7461615","37.8227316"
"Связной","mobile_phone","55.7943638","37.9272988"
"Билайн","mobile_phone","55.8987640","37.5853081"
"Магнолия","convenience","55.8050172","37.5123445"
"Магнолия","supermarket","55.7985607","37.7934668"
"Пятёрочка","convenience","55.8842838","37.4272582"
"Пятёрочка","supermarket","55.7971860","37.7983261"
"Дикси","supermarket","55.8094394","37.3246981"
"Пятёрочка","supermarket","55.8811561","37.6939705"
"Пятёрочка","supermarket","55.8860626","37.7014459"
"Перекресток","supermarket","55.8806266","37.6947844"
"Пятёрочка","supermarket","55.8868268","37.6901753"
"Магнолия","convenience","55.7392202","37.5483108"
"Связной","mobile_phone","55.8989305","37.5878726"
"Billa","supermarket","55.8155915","37.3637039"
"Л'Этуаль","cosmetics","55.7670524","37.5917324"
"Пятёрочка","supermarket","55.8069715","37.7137188"
"Перекрёсток","supermarket","55.7930388","37.5596574"
"Суши Wok","convenience","55.6536696","37.6158036"
"Перекресток","supermarket","55.6536571","37.6098971"
"Диана","dry_cleaning","55.8977809","37.5971595"
"Пятёрочка","supermarket","55.8953078","37.6035478"
"Смешные цены","clothes","55.8947004","37.5879738"
"Пятёрочка","supermarket","55.7881639","37.6815740"
"Лит.Ра","alcohol","55.8992322","37.5859043"
"Пятёрочка","supermarket","55.7342287","37.8525298"
"Ароматный мир","alcohol","55.6831128","37.5674534"
"М.Видео","electronics","55.8467454","37.3618478"
"Спортмастер","sports","55.8466836","37.3618178"
"Пятёрочка","supermarket","55.5827056","37.6500118"
"Дикси","supermarket","55.7783532","37.4944623"
"Пятёрочка","supermarket","55.7782156","37.4611547"
"Азбука Вкуса","supermarket","55.7754234","37.4699986"
"Связной","mobile_phone","55.8833330","37.6051538"
"Дикси","supermarket","55.7468232","37.7752917"
"Пятёрочка","supermarket","55.7468240","37.4089085"
"Пятёрочка","supermarket","55.8622477","37.6199994"
"Красное&Белое","alcohol","55.8708336","37.6418835"
"Пятёрочка","supermarket","55.8707582","37.6412635"
"МегаФон","mobile_phone","55.6723598","37.2787150"
